# 
# sigma	fit_err	rdiff	accuracy	sharper	broadness
6.744686932020783898e-02	8.890349439592070135e-01	1.919885818668007449e+00	9.570601905962844569e+01	2.965034405504879178e+00	3.372642145883371256e+01
8.359727362294598618e-02	5.890561658242813303e-01	1.080166683579210130e+01	3.671384307298489347e+01	2.392317624273724963e+00	4.180046954691421490e+01
7.856826463984964426e-02	4.558327334095305106e-01	8.143225991709272193e+00	5.844870266868274200e+01	2.545298440826980979e+00	3.928812370132497023e+01
5.998673327376603109e-02	4.952052320591041057e-01	3.529272656217258053e+00	9.031032738178478780e+01	3.333363317441756291e+00	2.999973014545159700e+01
8.254127285184660601e-02	5.438891924523953092e-01	4.156967294239599653e+00	8.864050071650864027e+01	2.422738714000850280e+00	4.127560245027929398e+01
8.017875071943648957e-02	4.879558954675206062e-01	2.106213905130033037e+00	9.465709294148958008e+01	2.494329081546796889e+00	4.009094098281027385e+01
9.225127682349697211e-02	6.019411034635108182e-01	1.702115034940405947e+00	9.814781571078580669e+01	2.167963493827882449e+00	4.612623795774077706e+01
9.012537917246146724e-02	6.672809903085281658e-01	-5.394016126797243071e-01	9.968720008892194073e+01	2.219380727076720738e+00	4.505761394608305892e+01
6.969317631987202721e-02	5.412207299287910001e-01	-3.925975738444177132e+00	8.787682809218507884e+01	2.869965923172243638e+00	3.484361928920311158e+01
9.556272467937311499e-02	6.777132451348931719e-01	7.507845516904007588e-02	9.999395018704687743e+01	2.092965462709327262e+00	4.777909706668106793e+01
6.900170379245659791e-02	6.979874151854222886e-01	-2.638728992879409319e+00	9.356218225971167612e+01	2.898588134068599054e+00	3.449955473999513345e+01
8.133561343191431092e-02	5.161149033674667930e-01	3.297651893397061773e+00	9.275869916921976710e+01	2.458828213124541584e+00	4.066977898912489309e+01
5.733386747001297662e-02	9.668436569228513466e-01	2.441717294577101072e+00	9.199783934820142406e+01	3.488866920868049615e+00	2.866260085813746983e+01
7.921157731368459742e-02	9.408796033829267547e-01	5.469226863498199975e+00	6.934061022447356493e+01	2.524834775499079864e+00	3.960655206843512133e+01
7.391814872292701288e-02	4.934119598548615815e-01	7.525305820139964297e+00	5.788346948439129136e+01	2.706075653570907846e+00	3.695388185767870226e+01
8.751263599009342919e-02	5.311473142999700858e-01	4.119143036387045598e+00	8.443262666770870339e+01	2.285141676687324708e+00	4.376096284102867884e+01
8.499796351603872147e-02	5.458092152387994389e-01	1.812792663227213996e+00	9.769636306154400529e+01	2.352825396825397597e+00	4.250209137275007976e+01
9.306067080947037773e-02	4.857330006504285147e-01	2.645548121951998954e+00	9.467775990616415527e+01	2.149166304190226917e+00	4.652967050759641410e+01
7.137858764202838213e-02	4.662947918132315794e-01	-7.363460553035902079e-01	9.955679559568433490e+01	2.801935654606632742e+00	3.568961329843212127e+01
6.792698229211380223e-02	4.883238542172197438e-01	3.837751499660310706e-01	9.982949246179305192e+01	2.944420166064121602e+00	3.396254418868230118e+01
5.700237196891718566e-02	6.186716910773842892e-01	1.511573727829686575e+00	9.745215215611503368e+01	3.508355029585800811e+00	2.850338667458238717e+01
8.702373490839172832e-02	5.333350768359685912e-01	-6.239538345693592447e+00	7.108823652653816794e+01	2.298464878275701562e+00	4.350729956553418276e+01
6.935473720279283771e-02	5.247373367051071380e-01	-1.959287843470782997e+00	9.673419060165771555e+01	2.884037668301035584e+00	3.467361092371211129e+01
7.173781265777981475e-02	2.216418783510053725e+00	3.667875058246834019e+00	7.971908770815106493e+01	2.788232195929423618e+00	3.586501875489111058e+01
8.295367251661421581e-02	7.296377544552171690e-01	-3.687210805208743114e+00	9.214278932257775523e+01	2.411152319604398464e+00	4.147394554335213712e+01
7.047687508843034077e-02	6.123111507006473442e-01	4.471948959720267958e+00	8.876209735668828671e+01	2.837659851443449011e+00	3.524030547534879076e+01
7.312645358277415630e-02	8.343254691087733654e-01	-1.649309196766225005e+00	9.762497586407769745e+01	2.735136731003431798e+00	3.656124348975902194e+01
7.825412174622303763e-02	1.486434858744346554e+00	-8.908634168546644694e-02	9.999506886191461774e+01	2.555567049412087677e+00	3.913025879051193812e+01
