# Number of simulations: 100
# One compartment simulation; White noise sigma=7; Broad stimulus; gpas parameter; dt=0.05
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 46.935087 minutes
# 
# sigma	diff	pdiff	sharper
7.675885253856598741e-07	2.002002002001997214e-07	9.714432183610432503e+01	2.271472392638029802e+01
4.558815520470420343e-07	3.003003003002995821e-07	8.820715465638366481e+01	3.219565217391306788e+01
-1.542122018629762705e-06	1.501501501501511463e-06	6.123494925861623273e+01	1.285590277777779278e+01
-1.547355431782470193e-06	5.005005005004857510e-07	9.578811309003626207e+01	1.281141868512110449e+01
-1.098311539647910076e-06	3.003003003002995821e-07	9.639408847839493433e+01	1.782190132370634572e+01
-8.278054385391907545e-07	1.301301301301298189e-06	3.352614691845043637e+01	2.354531001589830908e+01
-9.939424807484152982e-07	5.005005005004993035e-07	8.481335573869989730e+01	2.009497964721848007e+01
-9.505271649620334571e-07	4.004004004003994428e-07	9.279562242244364256e+01	2.068435754189940567e+01
-8.155039158741732368e-07	1.501501501501497911e-06	1.682386533599306944e+01	2.468333333333339397e+01
-1.010030324029853633e-06	7.007007007006990250e-07	7.725364726206365162e+01	1.920881971465633953e+01
-6.119587403659865953e-07	7.007007007007125775e-07	5.582616603067555872e+01	2.950199203187239760e+01
-7.401986840794704457e-07	9.009009009008987464e-07	5.832634549169623028e+01	2.264525993883793831e+01
-1.393735449524732934e-06	4.004004004003994428e-07	9.569327009104283377e+01	1.424038461538461497e+01
-1.181796851580258828e-06	3.003003003002995821e-07	9.709821757039598822e+01	1.675339366515835593e+01
-6.804012123210649076e-07	7.007007007007125775e-07	5.933006403266603002e+01	2.732472324723240931e+01
7.500648064743541713e-07	3.003003003002995821e-07	9.213290743750400225e+01	2.557858376511219589e+01
-1.080185613195196474e-06	7.007007007006990250e-07	8.023527975206795304e+01	1.837468982630273828e+01
-7.161865893020482142e-07	7.007007007007125775e-07	6.464602028093528929e+01	2.692727272727265486e+01
-8.238100986835426194e-07	8.008008008007988857e-07	6.313862967242971536e+01	2.257621951219508105e+01
6.953816114623076621e-07	4.004004004003994428e-07	8.923164190079327796e+01	2.616607773851587027e+01
-1.099368257854330302e-06	1.201201201201198328e-06	5.788518412367066190e+01	1.775779376498805462e+01
-1.502805262778030110e-06	6.006006006005991642e-07	9.314311600557468296e+01	1.319964349376113688e+01
-1.308563166285236501e-06	8.008008008007988857e-07	8.241203592025567559e+01	1.508146639511201847e+01
-9.705731189001937636e-07	1.301301301301298189e-06	4.814652617985007765e+01	1.993270524899062579e+01
7.572764242347294134e-07	2.002002002001997214e-07	9.738051559830721260e+01	2.358280254777069018e+01
-1.321872210034096875e-06	1.601601601601611324e-06	5.059470535985731487e+01	1.502028397565925211e+01
-1.039418071588478645e-06	2.502502502502496518e-06	6.900772675767337105e+00	1.925877763328995940e+01
-7.600029057598717538e-07	1.001001001001012160e-06	5.105834921796434855e+01	2.230421686746991838e+01
-1.166293830213328232e-06	3.003003003002995821e-07	9.669298805766372595e+01	1.682954545454544615e+01
9.082551786533146986e-07	1.801801801801811045e-06	1.552426431305542742e+01	2.065550906555094812e+01
6.747973396769935873e-07	4.004004004003994428e-07	8.603382474082549436e+01	2.747680890538023490e+01
-1.154761274301351732e-06	6.006006006005991642e-07	8.854203454300872522e+01	1.724097788125724406e+01
-8.660986439689550888e-07	6.006006006005991642e-07	7.603061578256124164e+01	2.250759878419458460e+01
-7.528183792544399987e-07	4.004004004004129954e-07	8.929027667001469126e+01	2.630550621669619460e+01
-1.266853750623727788e-06	7.007007007006854724e-07	8.477368191489580340e+01	1.565539112050741366e+01
5.690242219904106987e-07	3.003003003002995821e-07	9.156132316511779834e+01	2.712454212454206370e+01
-9.823554621302401227e-07	9.009009009009122989e-07	6.564107362380660504e+01	1.933420365535245722e+01
-1.201908091224827218e-06	4.004004004003994428e-07	9.336008619402691977e+01	1.660313901345290688e+01
-1.217712997975621266e-06	5.005005005005128561e-07	9.280685476582685567e+01	1.636464088397788075e+01
-8.654565153849333085e-07	9.009009009008987464e-07	6.393341236473180089e+01	2.085915492957747830e+01
1.355889651947274696e-06	3.003003003002995821e-06	7.687047003465888650e+00	1.454813359528486494e+01
1.078860053100891147e-06	1.001001001000998607e-07	9.968138607273986906e+01	1.784337349397588213e+01
-1.498798854093828195e-06	6.006006006005991642e-07	9.178207790988341230e+01	1.327060931899641361e+01
-2.057808892570304404e-06	6.006006006005991642e-07	9.608310217258649288e+01	9.679738562091504406e+00
