# Number of simulations: 100
# One compartment simulation; White noise sigma=7; Broad stimulus; cm parameter; dt=0.05
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 46.935087 minutes
# sigma	diff	pdiff	sharper
5.879321217025430812e-02	5.905905905905917130e-02	6.172632584357643282e+01	3.378193430656933671e+00
6.160934121925745049e-02	5.005005005005003227e-02	7.305425442005871162e+01	3.231507746017892480e+00
4.126811689231593694e-02	2.602602602602599458e-02	8.267551731514441826e+01	4.817826935588808368e+00
5.027142597647076688e-02	2.502502502502501613e-02	8.832489001401827977e+01	3.951440768409819171e+00
3.360295795504182614e-02	2.402402402402414872e-02	7.772377196174402059e+01	5.909816440542695837e+00
4.013698595870764108e-02	3.103103103103110882e-02	7.359804270742394294e+01	4.948212495823587354e+00
7.429137814904272774e-02	3.403403403403393312e-02	9.057969726252574105e+01	2.674733610258262839e+00
5.950750054373128706e-02	4.304304304304296114e-02	7.725723530524264504e+01	3.341606498194945374e+00
8.361697883140388476e-02	1.041041041041042003e-01	4.509392587953885112e+01	2.377970456005138011e+00
3.815353298184583769e-02	3.103103103103110882e-02	7.185642852539476166e+01	5.207454289732768693e+00
9.219057528685943581e-02	5.605605605605590291e-02	8.375924832592798452e+01	2.156691422746467079e+00
4.590240734105016651e-02	2.102102102102099135e-02	9.050304362912217471e+01	4.325350467289720946e+00
6.006518132674893568e-02	6.006006006005870645e-03	9.944460723470712082e+01	3.306541638758648816e+00
5.237800428038004441e-02	6.706706706706710985e-02	4.593110713522211341e+01	3.792573623559540863e+00
4.890517238830176250e-02	9.009009009009028013e-03	9.815924784795774372e+01	4.064215148188802473e+00
2.566999808439174302e-02	2.702702702702708404e-02	5.739239974780630860e+01	7.745815899581592667e+00
3.189845134345693084e-02	5.105105105105112173e-02	2.877863287128458580e+01	6.217464315701090705e+00
4.985991163589765379e-02	3.803803803803806893e-02	7.431888845346324501e+01	3.985468245425184630e+00
-1.520961289099125903e-02	3.003003003002824300e-03	9.818564138722820189e+01	1.305996472663137808e+01
8.305995183960650230e-02	6.706706706706699883e-02	7.137096797623068767e+01	2.392568659127625619e+00
8.522289882309491693e-02	1.001001001001000645e-02	9.930229690695557565e+01	2.333385851583422266e+00
6.109977869295937780e-02	1.701701701701718861e-02	9.627531003237913865e+01	3.257809062912450759e+00
4.425969549863742469e-02	7.907907907907907319e-02	1.932910618732276475e+01	4.494688922610015958e+00
4.185055682301951768e-02	3.603603603603600103e-02	6.945956288944444168e+01	4.745273950656839546e+00
5.180810614304258432e-02	8.308308308308309797e-02	2.937230810886949328e+01	3.831824062095732675e+00
4.682150517718387805e-02	6.406406406406395249e-02	4.098438974326475659e+01	4.244769274863859465e+00
6.693934484449635958e-02	5.705705705705699238e-02	6.923066564988631910e+01	2.969721275315818865e+00
-4.067705715489687568e-02	8.008008008008049572e-03	9.798622392095488465e+01	4.882954170787997761e+00
4.630591359118997608e-02	5.105105105105112173e-02	5.377860112529673131e+01	4.287782281412856555e+00
5.123498347806069303e-02	1.401401401401392022e-02	9.651871031039753746e+01	3.876963350785339379e+00
6.286526586677805561e-02	4.404404404404393958e-02	7.792112506419984186e+01	3.156436487638532906e+00
